,date,quality_of_life,age,Euro95(€/L),Diesel(€/L),Lpg(€/L),Open,High,Low,Close,adj_close,Volume,Consumer_trust,Economic_climate,Buy_willingness,annual_rate_of_change,annual_rate_of_change_derived,rolling_mean_AEX,news_sentiment,wind_gust,min_temp,avg_temp,max_temp,sunshine_duration,max_potential_sunshine_duration,precipitation_duration,max_precipitation_amount,max_humidity,min_humidity,stringency_index,icu_patients,daily_hospitalization,reproduction_rate,new_cases,new_deaths,total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,counts_per_day,sunrise,sunset,daylight_hours,14day_rollling_avg_temp,14day_rollling_hospitalization
56,5/31/2020,7.553072626,55.17582418,,,,,,,,,,,,,,,528.2860046,-0.614818394,12,9,15.2,21.4,11.2,68,0,0,90,38,71.3,159,544,0.83,103,5,46622,5971,,,,,182,5.233333333,21.81666667,16.58333333,14.03928571,764.4285714
57,6/1/2020,7.601656096,56.71520083,1.51,1.193,0.552,540.4699707,540.6099854,532.8900146,539.539978,539.539978,91884200,-27,-52,-11,1.6,1.4,530.251001,-0.593033254,11,8.9,16.7,24.5,12.6,76,0,0,83,34,62.96,158,542,0.85,102,6,46724,5977,,,,,5776,5.216666667,21.85,16.63333333,14.26071429,738.2142857
58,6/2/2020,7.565308255,57.05702857,1.507,1.193,0.557,543.039978,547.9899902,541.4099731,546.1199951,546.1199951,130017400,,,,,,532.8179993,-0.615673721,8,12.5,19.95,27.4,13.3,80,0,0,76,29,62.96,154,516,0.89,86,5,46810,5982,,,,,8750,5.2,21.86666667,16.66666667,14.58928571,708.4285714
59,6/3/2020,7.580623902,57.47110485,1.505,1.189,0.558,551.6900024,562.460022,551.539978,561.2999878,561.2999878,159580800,,,,,,535.8419983,-0.620270014,12,13,18.95,24.9,8,48,0,0,91,48,62.96,116,496,1,209,10,47019,5992,,,,,9223,5.183333333,21.88333333,16.7,14.82857143,678
60,6/4/2020,7.58245283,58.88471599,1.509,1.188,0.555,557.8900146,563.8699951,555.9500122,559.1300049,559.1300049,154019400,,,,,,539.473999,-0.630719185,10,8.8,11.6,14.4,0,0,4.3,1.8,93,78,62.96,113,481,1.06,210,13,47229,6005,,,,,5352,5.183333333,21.9,16.71666667,14.42142857,647.2857143
61,6/5/2020,7.546730698,58.09001815,1.511,1.19,0.555,563.8599854,573.460022,562.7999878,572.7999878,572.7999878,194111900,,,,,,544.3159973,-0.632668793,17,5.7,9.75,13.8,5.2,31,5,3,93,67,62.96,97,469,1.08,183,15,47412,6020,,,,,2755,5.166666667,21.91666667,16.75,13.86428571,619.1428571
62,6/6/2020,7.557486631,57.14116095,,,,,,,,,,,,,,,544.3159973,-0.631320834,17,6.2,11.2,16.2,7.3,44,0.7,2,92,45,62.96,96,456,1.1,239,6,47651,6026,,,,,1516,5.15,21.93333333,16.78333333,13.61071429,593.7857143
63,6/7/2020,7.575568182,57.20593173,,,,,,,,,,,,,,,544.3159973,-0.626776338,14,8.7,13.25,17.8,3.8,23,1.4,0.4,97,49,62.96,96,443,1.08,165,2,47816,6028,,,,,1787,5.15,21.95,16.8,13.625,573.2857143
64,6/8/2020,7.537683824,55.56010929,1.518,1.191,0.549,567.4400024,572.0800171,563.5599976,566.2000122,566.2000122,177277000,,,,,,547.6539978,-0.620995998,8,8.3,13.45,18.6,3.8,23,0,-0.1,98,50,62.96,92,400,1.05,164,3,47980,6031,,,,,1098,5.133333333,21.96666667,16.83333333,13.78214286,547.8571429
65,6/9/2020,7.494269341,55.87215909,1.524,1.193,0.563,568.5300293,569.6199951,558.4199829,561.75,561.75,166234300,,,,,,550.698999,-0.630597174,6,5.4,10.7,16,4.4,26,0,0,96,52,62.96,91,346,1.02,184,15,48164,6046,,,,,704,5.133333333,21.96666667,16.83333333,13.61785714,522.7142857
